0.1	-0.4 -0.0617098 -0.202411 -0.012795 -0.0438675 0.00261045 -0.000642401 -0.0267132 0.087395 -0.00461857 0.0050359 0.00557232 -0.0968796 0.00431512 -0.0290224 -0.0579409
0.2	-0.5 -0.186372 -0.406738 -0.0258315 -0.135747 0.000393872 -0.00521481 -0.0396853 0.11255 -0.00602281 0.00515116 0.00505314 -0.120736 0.00538208 -0.0343871 -0.110697
0.5	-0.6 -0.411531 -0.620952 -0.061293 -0.230138 -0.00474902 -0.0117683 -0.04454 0.111675 -0.0072261 0.00351357 0.00177239 -0.112663 0.00465035 -0.0341371 -0.09
1	-0.568886 -0.534156 -0.625914 -0.0997841 -0.293919 -0.0252813 -0.02004 -0.0532041 0.0559918 -0.00615456 -0.000520991 -0.00223384 -0.0602642 0.00242404 -0.0170996 -0.111992
5	-0.257961  -0.66199  -0.487963  -0.22237  -0.308236  -0.0650264  -0.0136242  -0.0302559  -0.0103645  -0.00323514  -0.00330297  -0.00676208  -0.00345932  -0.010941  -0.00584501  0.0101307
10	-0.332569  -0.847602  -0.63793  -0.223267  -0.396754  -0.0842656  -0.0177293  -0.0399676  -0.00884486  -0.00451281  -0.00423595  -0.00861357  -0.00723254  -0.0137849  -0.0237903  0.0049976
50	-0.204055  -0.78781  -0.495607  -0.2748  -0.375395  -0.105494  -0.0114559  -0.01474  -0.0146857  -0.00330947  -0.00366096  -0.00816417  -0.00362953  -0.0192513  -0.0312768  0.0144042
100	-0.161061  -0.735817  -0.426627  -0.32182  -0.332742  -0.10685  -0.00861921  -0.0123035  -0.0405714  -0.00633816  -0.00694029  -0.00818199  -0.0201008  -0.0181094  -0.0253618  -0.024946
