0.100	-0.22776  -0.0982809  -0.150973  -0.00805447  -0.0426069  -0.00512344  -0.00272861  -0.0614019  -0.0510873  -0.00243597  -0.00519333  -0.00536398  -0.0505503  -0.00494568  -0.0165266  -0.0248702
0.200	-0.287917  -0.212959  -0.26855  -0.0132876  -0.0897455  -0.0055113  -0.00442213  -0.0456514  -0.0443846  -0.00273933  -0.00456539  -0.00452444  -0.0482286  -0.00318361  -0.013338  -0.0287123
0.500	-0.290922  -0.396097  -0.378571  -0.0274289  -0.153426  -0.004927  -0.00643563  -0.0881599  0.00492  -0.000214509  -0.000182681  -0.00139328  0.00420971  -0.000391172  -0.000100115  0.0150479
1	-0.247479  -0.426028  -0.360576  -0.0313055  -0.17628  -0.00727096  -0.00793297  -0.092031  0.0102276  7.61146e-05  0.000136576  -0.00159607  0.0086655  1.07794e-05  0.00125187  0.0287121
5	-0.111757  -0.1971  -0.147384  -0.102387  -0.21379  -0.0151275  -0.00325218  -0.00977926  0.0250787  -0.000256313  0.00174238  0.00196361  0.0251597  -0.000891672  -0.0152071  0.0078287
10	-0.133727  -0.227374  -0.17698  -0.123295  -0.265527  -0.0189855  -0.00646402  -0.0348604  0.00563985  -0.000924329  -4.98515e-05  -0.00103595  0.00421073  -0.00403379  0.00411508  0.00185712
50	-0.0889134  -0.0971099  -0.065301  -0.162069  -0.248377  -0.020332  -0.00388042  0.0358649  0.00319177  -0.00114425  -0.000373753  -0.000827939  0.0025354  -0.00677468  -0.0250038  -0.0052045
100	-0.0696827  -0.0462345  -0.0283695  -0.167077  -0.225143  0.0213774  -0.00232402  0.0126356  0.0160313  -0.000254413  0.00124274  0.000626756  0.0148943  -0.00589993  -0.0408608  0.00300173
