0.100 -0.260618  -0.0820577  -0.120289  0.00498604  -0.0422842  -0.00314498  -0.0103132
0.500 -0.438358  -0.420963  -0.414362  0.00358806  -0.198231  -0.0151831  -0.0404399
1     -0.435564  -0.653581  -0.518975  -0.00894428  -0.276347  -0.0287054  -0.0467359
10    -0.222157  -0.307458  -0.21154  -0.0260669  -0.401857  -0.106181  -0.0162788
100   -0.102178  -0.0612685  -0.0426194  -0.0324846  -0.336105  -0.140986  -0.00662162
