0.1	-0.0704422  -0.0217507  -0.0452419  -0.000564137  -0.0197534  -0.000351239  -0.000188665  0.000674072  0.0414974  0.00543453  0.00483013  -0.000168048  0.0314239  -0.000498748  0.00948062  0.0243431
0.2	-0.0790712  -0.0250339  -0.0638131  -0.0015978  -0.000501595  -0.000393693  -0.000275831  -0.00678221  0.0427766  0.00563328  0.00513538  -0.000115389  0.0324946  -0.000175052  0.0093614  0.0237748
0.5	-0.0603943  -0.0596662  -0.0763457  -0.00346424  -0.0405792  -0.000627122  -0.000450504  -0.00920581  0.0407156  0.00576623  0.00488286  -0.000401697  0.0337129  -0.000407358  0.0102972  0.0255196
1	-0.0486339  -0.0778742  -0.0755366  -0.00500371  -0.0328357  -0.000923134  -0.000544743  -0.00818454  0.0377584  0.00589235  0.00466781  -0.000657543  0.0368864  -0.000661973  0.0116217  0.0268049
5	-0.026484  -0.079231  -0.0344889  -0.00404645  -0.0267484  -0.00573571  -0.0014262  0.00442109  -0.117558  -0.00310693  -0.0108182  -0.00552553  0.043029  -0.00383812  0.0128658  0.00648903
10	-0.0301135  -0.093405  -0.0573052  -0.0132752  -0.0372716  -0.00242629  -0.000837621  -0.00783365  -0.0749682  -0.00481114  -0.00770172  -0.00222239  -0.0010801  -0.0015657  -0.00155132  -0.00986181
50	-0.0186647  -0.0808266  -0.0333918  -0.0162  -0.0329728  -0.0036684  -0.000778189  -0.000589572  -0.0887107  -0.00393968  -0.00844846  -0.0036442  0.0163437  -0.00268007  0.00264689  -0.00284116
100	-0.0167107  -0.0794413  -0.0288186  -0.0158528  -0.0293828  -0.00451461  -0.00107052  0.00337778  -0.103682  -0.00333488  -0.00897892  -0.00430999  0.030013  -0.00292438  0.00687982  0.00335993
