CRBkg Lepto Hadro 3FHL_J0500.9-6945e 3FHL_J0530.0-6900e 3FHL_J0531.8-6639e 
1 -0.409716 -0.521678 -0.0673908 -0.136118 -0.0593389 
-0.409716 1 -0.808808 -0.187959 -0.504773 -0.137289 
-0.521678 -0.808808 1 -0.141882 -0.362862 -0.113291 
-0.0673908 -0.187959 -0.141882 1 -0.0045245 -0.000224591 
-0.136118 -0.504773 -0.362862 -0.0045245 1 -0.00399959 
-0.0593389 -0.137289 -0.113291 -0.000224591 -0.00399959 1 


