      10000.0  1.0000e-300
      12589.3  1.0000e-300
      15848.9  1.0000e-300
      19952.6  1.0000e-300
      25118.9  1.0000e-300
      31622.8  1.0000e-300
      39810.7  1.0000e-300
      50118.7  1.0000e-300
      63095.7  1.0000e-300
      79432.8  1.0000e-300
      100000.  1.0000e-300
      125893.  1.0000e-300
      158489.  1.0000e-300
      199526.  1.0000e-300
      251189.  1.0000e-300
      316228.  1.0000e-300
      398107.  1.0000e-300
      501187.  1.0000e-300
      630957.  1.0000e-300
      794328.  1.0000e-300
  1.00000e+06  1.60000e-19
  1.25893e+06  8.79264e-20
  1.58489e+06  4.83192e-20
  1.99526e+06  2.65534e-20
  2.51189e+06  1.45922e-20
  3.16228e+06  8.01900e-21
  3.98107e+06  4.40676e-21
  5.01187e+06  2.42170e-21
  6.30957e+06  1.33082e-21
  7.94328e+06  7.31341e-22
  1.00000e+07  4.01902e-22
  1.25893e+07  2.20861e-22
  1.58489e+07  1.21372e-22
  1.99526e+07  6.66991e-23

