      10000.0  3.84737e-15
      12589.3  2.36789e-15
      15848.9  1.45733e-15
      19952.6  8.96924e-16
      25118.9  5.52018e-16
      31622.8  3.39743e-16
      39810.7  2.09097e-16
      50118.7  1.28690e-16
      63095.7  7.92032e-17
      79432.8  4.87461e-17
      100000.  3.00011e-17
      125893.  1.84644e-17
      158489.  1.13640e-17
      199526.  6.99406e-18
      251189.  4.30454e-18
      316228.  2.64926e-18
      398107.  1.63050e-18
      501187.  1.00350e-18
      630957.  6.17613e-19
      794328.  3.80114e-19
  1.00000e+06  2.33944e-19
  1.25893e+06  1.43982e-19
  1.58489e+06  8.86147e-20
  1.99526e+06  5.45385e-20
  2.51189e+06  3.35661e-20
  3.16228e+06  2.06585e-20
  3.98107e+06  1.27144e-20
  5.01187e+06  7.82515e-21
  6.30957e+06  4.81604e-21
  7.94328e+06  2.96406e-21
  1.00000e+07  1.82425e-21
  1.25893e+07  1.12275e-21
  1.58489e+07  6.91002e-22
  1.99526e+07  4.25282e-22
  2.51189e+07  2.61742e-22
  3.16228e+07  1.61091e-22
  3.98107e+07  9.91446e-23
  5.01187e+07  6.10192e-23
  6.30957e+07  3.75547e-23
  7.94328e+07  2.31133e-23
  1.00000e+08  1.42252e-23
